race_id,EX_payout,runner_program_number_pp,x8is_exacta,official_finish_position,prob_x8runner_HDWPSRRating_norm_par
BTP_20160703_3,8.6,6,1.0,1.0,0.7757579116926716
BTP_20160703_3,8.6,3,1.0,2.0,0.03328814460215956
BTP_20160703_3,8.6,9,0.0,3.0,0.06322971644380034
BTP_20160703_3,8.6,4,0.0,4.0,0.0012421285599832131
BTP_20160703_3,8.6,2,0.0,5.0,0.026486621397206624
BTP_20160703_3,8.6,10,0.0,6.0,0.041524303039032213
BTP_20160703_3,8.6,7,0.0,8.0,0.03328814460215956
BTP_20160703_3,8.6,1,,,0.0042694170892848375
BTP_20160703_3,8.6,11,,,0.020913612573702133
BTP_20160703_4,13.0,5,1.0,1.0,0.004973486265198701
BTP_20160703_4,13.0,3,1.0,2.0,0.2079937228895513
BTP_20160703_4,13.0,7,0.0,3.0,0.010770433205879835
BTP_20160703_4,13.0,1,0.0,4.0,0.3229344433347985
BTP_20160703_4,13.0,6,0.0,5.0,0.01546363093623502
BTP_20160703_4,13.0,2,0.0,6.0,0.3961797487496173
BTP_20160703_4,13.0,4,,,0.041684534618719335
BTP_20160703_5,180.5,1,1.0,1.0,0.0007918280636228539
BTP_20160703_5,180.5,5,1.0,2.0,0.03420080408742472
BTP_20160703_5,180.5,3,0.0,3.0,0.18141221800269464
BTP_20160703_5,180.5,4,0.0,4.0,0.04476766036175734
BTP_20160703_5,180.5,6,0.0,5.0,0.0192943378634392
BTP_20160703_5,180.5,7,0.0,6.0,0.014238883203122972
BTP_20160703_5,180.5,2,0.0,7.0,0.3853514651673823
BTP_20160703_5,180.5,8,,,0.04476766036175734
BTP_20160703_5,180.5,9,,,0.26866966685218935
BTP_20160703_5,180.5,10,,,0.0011906672846857397
BTP_20160703_5,180.5,11,,,0.005314808751923546
BTP_20160703_6,28.1,5,1.0,1.0,0.08214342921014542
BTP_20160703_6,28.1,4,1.0,2.0,0.021607769311167563
BTP_20160703_6,28.1,3,0.0,3.0,0.38518983752220787
BTP_20160703_6,28.1,8,0.0,4.0,0.44455122172301664
BTP_20160703_6,28.1,2,0.0,5.0,0.04359733380810637
BTP_20160703_6,28.1,6,0.0,6.0,0.01299383295487378
BTP_20160703_6,28.1,7,0.0,7.0,0.005681033494095991
BTP_20160703_6,28.1,1,0.0,8.0,0.004235541976386391
BTP_20160703_7,31.1,2,1.0,1.0,0.14443173613717436
BTP_20160703_7,31.1,1,1.0,2.0,0.03430995424552744
BTP_20160703_7,31.1,5,0.0,3.0,0.005524760617094394
BTP_20160703_7,31.1,6,0.0,4.0,0.12013541972470912
BTP_20160703_7,31.1,8,0.0,5.0,0.5084861339973633
BTP_20160703_7,31.1,7,0.0,6.0,0.14443173613717436
BTP_20160703_7,31.1,4,0.0,7.0,0.021247886056199827
BTP_20160703_7,31.1,9,0.0,8.0,0.01651466624358311
BTP_20160703_7,31.1,3,0.0,9.0,0.0008097474556076882
BTP_20160703_7,31.1,10,,,0.0041079593855664715
BTP_20160703_8,51.6,8,1.0,1.0,0.007144954800987765
BTP_20160703_8,51.6,1,1.0,2.0,0.019835918788278246
BTP_20160703_8,51.6,9,0.0,3.0,0.3195273542390198
BTP_20160703_8,51.6,5,0.0,4.0,0.048706680528096895
BTP_20160703_8,51.6,6,0.0,5.0,0.0006186173353163048
BTP_20160703_8,51.6,10,0.0,6.0,0.1707677010213815
BTP_20160703_8,51.6,2,0.0,7.0,0.3865819809093751
BTP_20160703_8,51.6,4,0.0,8.0,0.007144954800987765
BTP_20160703_8,51.6,3,0.0,9.0,0.019835918788278246
BTP_20160703_8,51.6,7,,,0.019835918788278246
CPW_20160703_3,7.7,6,1.0,1.0,0.05157359344984926
CPW_20160703_3,7.7,3,1.0,2.0,0.02609640918200601
CPW_20160703_3,7.7,5,0.0,4.0,0.27459416764126554
CPW_20160703_3,7.7,2,0.0,5.0,0.6477358297268792
CPW_20160703_7,20.2,5,1.0,1.0,0.46556144479165334
CPW_20160703_7,20.2,3,1.0,2.0,0.001996560365675275
CPW_20160703_7,20.2,1,0.0,3.0,0.15230810792244565
CPW_20160703_7,20.2,6,0.0,4.0,0.05371096794864724
CPW_20160703_7,20.2,7,0.0,5.0,0.009617547979282071
CPW_20160703_7,20.2,2,,,0.20687322552545634
CPW_20160703_7,20.2,4,,,0.10993214546684003
ELP_20160703_1,72.7,12,1.0,1.0,0.03180132376361312
ELP_20160703_1,72.7,2,1.0,2.0,0.12464536898416094
ELP_20160703_1,72.7,11,0.0,3.0,0.09451641631055592
ELP_20160703_1,72.7,10,0.0,4.0,0.2633475845200712
ELP_20160703_1,72.7,3,0.0,5.0,0.12464536898416094
ELP_20160703_1,72.7,8,0.0,6.0,0.09451641631055592
ELP_20160703_1,72.7,1,0.0,7.0,0.1620717601953589
ELP_20160703_1,72.7,7,0.0,9.0,0.007089412246933109
ELP_20160703_1,72.7,5,0.0,10.0,0.07061717036806234
ELP_20160703_1,72.7,4,0.0,11.0,0.0002431344444836162
ELP_20160703_1,72.7,9,,,0.0037388728354527216
ELP_20160703_1,72.7,13,,,0.0003198920333510638
ELP_20160703_1,72.7,14,,,0.022447279003240162
ELP_20160703_2,8.8,4,1.0,1.0,0.6420595614837621
ELP_20160703_2,8.8,8,1.0,2.0,0.11283280796297744
ELP_20160703_2,8.8,6,0.0,3.0,0.07853018488174571
ELP_20160703_2,8.8,1,0.0,4.0,0.002177147394150411
ELP_20160703_2,8.8,2,0.0,5.0,0.03530455704487048
ELP_20160703_2,8.8,5,0.0,6.0,0.05333746320043114
ELP_20160703_2,8.8,9,0.0,7.0,0.0021771473941504106
ELP_20160703_2,8.8,3,,,0.008658294008998119
ELP_20160703_2,8.8,7,,,0.06492283662891424
ELP_20160703_4,7.3,2,1.0,1.0,0.030204688772701837
ELP_20160703_4,7.3,1,1.0,2.0,0.45574188107442465
ELP_20160703_4,7.3,6,0.0,3.0,0.08770940155295512
ELP_20160703_4,7.3,4,0.0,4.0,0.17428875931609444
ELP_20160703_4,7.3,5,0.0,5.0,0.0008621967596172858
ELP_20160703_4,7.3,7,0.0,6.0,0.008569481530718093
ELP_20160703_4,7.3,3,0.0,7.0,0.06833483167739421
ELP_20160703_4,7.3,8,,,0.17428875931609444
ELP_20160703_5,10.0,4,1.0,1.0,0.02872795922177847
ELP_20160703_5,10.0,11,1.0,2.0,0.0348590729965256
ELP_20160703_5,10.0,6,0.0,3.0,0.010027403125860462
ELP_20160703_5,10.0,2,0.0,4.0,0.0996941962912646
ELP_20160703_5,10.0,5,0.0,5.0,0.012522993091309949
ELP_20160703_5,10.0,7,0.0,6.0,0.019187215587088566
ELP_20160703_5,10.0,9,0.0,7.0,0.019187215587088566
ELP_20160703_5,10.0,1,0.0,8.0,0.0004234252425926549
ELP_20160703_5,10.0,10,0.0,9.0,0.0023191536177425485
ELP_20160703_5,10.0,3,,,0.21003943994507726
ELP_20160703_5,10.0,8,,,0.5630119252936713
ELP_20160703_6,47.2,7,1.0,1.0,0.8413447460684901
ELP_20160703_6,47.2,3,0.0,7.0,0.1586552539315099
ELP_20160703_7,10.2,1,1.0,1.0,0.1782990976943818
ELP_20160703_7,10.2,5,1.0,2.0,0.6406201851473852
ELP_20160703_7,10.2,2,0.0,3.0,0.0727100829690478
ELP_20160703_7,10.2,1A,0.0,4.0,0.01568148221025966
ELP_20160703_7,10.2,9,0.0,5.0,0.019955154382148742
ELP_20160703_7,10.2,6,0.0,6.0,0.002317006761711099
ELP_20160703_7,10.2,8,0.0,7.0,0.031593155997336135
ELP_20160703_7,10.2,3,0.0,8.0,0.005526181888478672
ELP_20160703_7,10.2,4,0.0,9.0,0.0017044969519147714
ELP_20160703_7,10.2,7,0.0,10.0,0.03159315599733613
ELP_20160703_8,43.8,2,1.0,1.0,0.003895590128955378
ELP_20160703_8,43.8,8,1.0,2.0,0.23598296082260967
ELP_20160703_8,43.8,7,0.0,3.0,0.02453524603823571
ELP_20160703_8,43.8,5,0.0,4.0,0.19559785278272923
ELP_20160703_8,43.8,4,0.0,5.0,0.0009044604220955487
ELP_20160703_8,43.8,1,0.0,6.0,0.013889713518046368
ELP_20160703_8,43.8,6,0.0,7.0,0.02453524603823571
ELP_20160703_8,43.8,3,0.0,8.0,0.33599208568418515
ELP_20160703_8,43.8,9,0.0,9.0,0.0013270860703401802
ELP_20160703_8,43.8,10,,,0.03209747464057756
ELP_20160703_8,43.8,11,,,0.13124228385398953
EMD_20160703_10,6.3,4,1.0,1.0,0.19587059869501758
EMD_20160703_10,6.3,2,1.0,2.0,0.6016332727339248
EMD_20160703_10,6.3,3,0.0,3.0,0.002203370343200021
EMD_20160703_10,6.3,1,0.0,4.0,0.07328308665653088
EMD_20160703_10,6.3,6,0.0,5.0,0.03830852519706188
EMD_20160703_10,6.3,7,0.0,6.0,0.015418059717734169
EMD_20160703_10,6.3,5,0.0,7.0,0.0732830866565309
EMD_20160703_2,19.2,5,1.0,1.0,0.06309439039691903
EMD_20160703_2,19.2,8,1.0,2.0,0.3463074983843251
EMD_20160703_2,19.2,6,0.0,3.0,0.08063176665353179
EMD_20160703_2,19.2,7,0.0,6.0,0.48825865424178994
EMD_20160703_2,19.2,3,0.0,7.0,0.015753128526434332
EMD_20160703_2,19.2,2,,,0.005954561796999831
EMD_20160703_3,32.8,6,1.0,1.0,0.08346727817175385
EMD_20160703_3,32.8,1,1.0,2.0,0.08346727817175385
EMD_20160703_3,32.8,8,0.0,3.0,0.2830254896837142
EMD_20160703_3,32.8,4,0.0,4.0,0.20574142332016418
EMD_20160703_3,32.8,7,0.0,5.0,0.32924525100716534
EMD_20160703_3,32.8,2,0.0,6.0,0.0013364209858240652
EMD_20160703_3,32.8,5,0.0,7.0,0.013716858659624461
EMD_20160703_4,57.3,7,1.0,1.0,0.015551673408351514
EMD_20160703_4,57.3,4,1.0,2.0,0.006925733576677588
EMD_20160703_4,57.3,3,0.0,3.0,0.06279877307519931
EMD_20160703_4,57.3,5,0.0,4.0,0.11410846486078222
EMD_20160703_4,57.3,1,0.0,5.0,0.5983649794567316
EMD_20160703_4,57.3,2,,,0.006925733576677588
EMD_20160703_4,57.3,6,,,0.19532464204558014
EMD_20160703_5,26.4,7,1.0,1.0,0.02366761052574327
EMD_20160703_5,26.4,2,1.0,2.0,0.14068216473604833
EMD_20160703_5,26.4,5,0.0,3.0,0.007869304576252806
EMD_20160703_5,26.4,3,0.0,4.0,0.02366761052574327
EMD_20160703_5,26.4,1,0.0,5.0,0.7637703584688239
EMD_20160703_5,26.4,6,0.0,6.0,0.02366761052574327
EMD_20160703_5,26.4,4,0.0,7.0,0.016675340641645078
EMD_20160703_6,2.4,2,1.0,1.0,0.44008779130166226
EMD_20160703_6,2.4,4,1.0,2.0,0.44008779130166226
EMD_20160703_6,2.4,5,0.0,3.0,0.0643562257399349
EMD_20160703_6,2.4,3,0.0,4.0,0.009668414736172123
EMD_20160703_6,2.4,1,0.0,5.0,0.04579977692056835
